text,label,notes
Giannis just posterized three guys on the same possession. Someone check on me.,reaction,CLEAR
KD just dropped 49 in the 4th quarter. He cannot be stopped.,reaction,CLEAR
This game 7 is the greatest basketball I've ever watched in my entire life,reaction,CLEAR
I've been a Suns fan for 30 years. I've never seen them in the Finals. I'm crying right now.,reaction,CLEAR
Tatum just dunked over Embiid and I need a moment of silence.,reaction,CLEAR
Who is a random role player who permanently changed your life as a fan?,reaction,"EDGE_AH: no opinion or emotional event, but classified reaction because it solicits nostalgic fan sentiment, not tactical discussion"
Just got back from my first NBA game ever. I will never be the same person.,reaction,CLEAR
The Thunder just clinched their first title since the Durant era. OKC I am so happy for you all.,reaction,EDGE_RN: celebratory announcement of a result; classified reaction because the poster's emotional response is primary
Jaylen Brown just won Finals MVP. He deserves every single bit of this.,reaction,CLEAR
I'm a Lakers fan and I'm not even mad. That was the most entertaining playoff run I've ever watched.,reaction,CLEAR
That Damian Lillard shot was the greatest moment I have ever witnessed in a basketball game.,reaction,CLEAR
The Spurs won. Pop is a genius. I have no other words.,reaction,CLEAR
Heat fans in the building right now are going absolutely insane. The energy is indescribable.,reaction,CLEAR
I just watched a man score 73 points. I don't know what to do with myself.,reaction,CLEAR
HOLY COW DID THAT JUST HAPPEN? GAME 7 OT AND THEY WIN IT???,reaction,CLEAR
Just saw LeBron hit the shot over Iggy live in Cleveland. Nothing will ever top that.,reaction,CLEAR
My grandfather has been a Celtics fan since 1960. He just watched them win. He's 87.,reaction,CLEAR
I don't care about records or narratives. That was just pure joy to watch.,reaction,CLEAR
Wemby just blocked a 3-pointer. We are witnessing something unprecedented in real time.,reaction,CLEAR
I screamed so loud I scared my dog. That overtime sequence was unreal.,reaction,CLEAR
Anthony Edwards just put someone in the highlight reel with that dunk. Someone call 911.,reaction,CLEAR
Pop just coached his 1400th win. He's in a category of his own.,reaction,CLEAR
Brunson is a villain right now and I love every second of it.,reaction,CLEAR
I went to sleep nervous and woke up to see they won in OT. Best morning of my life.,reaction,CLEAR
20-year drought is OVER. I'm not able to type coherently right now.,reaction,CLEAR
Dirk is celebrating on the court right now and I'm crying at my keyboard.,reaction,CLEAR
Embiid just posterized two guys and the crowd was so loud my phone couldn't record properly.,reaction,CLEAR
I drove 8 hours to watch this game and I would do it again 1000 times,reaction,CLEAR
The way that crowd erupted after that call was reversed... indescribable,reaction,CLEAR
SGA WHAT ARE YOU DOING WHAT IS HAPPENING,reaction,CLEAR
Just witnessed Jokic get his third MVP in real time. What a player. What a human.,reaction,CLEAR
I taught my 5-year-old to clap and the first thing she clapped for was a Steph 3. Good parenting.,reaction,CLEAR
My team hasn't won a playoff series in 15 years and I just watched them win game 7. I'm overwhelmed.,reaction,CLEAR
The way the entire arena went quiet after that turnover... you could feel it shift,reaction,CLEAR
Klay Thompson just hit his 14th three of the night. Never seen anything like this in 30 years of watching.,reaction,CLEAR
LEBRON JAMES BLOCK LEBRON JAMES BLOCK LEBRON JAMES BLOCK,reaction,CLEAR
I'm a Nuggets fan living in LA. The looks I'm getting right now are priceless.,reaction,CLEAR
That buzzer beater went in off the backboard. I'm still not convinced it was real.,reaction,CLEAR
Watching this live and my feed is completely frozen. Did they actually just win??,reaction,CLEAR
My roommate has never watched basketball before. He just stood up and yelled. We got him.,reaction,CLEAR
This arena is electric. I've been to 200 NBA games and this is the loudest I've ever heard one.,reaction,CLEAR
No words. Just watch the replay. Over and over.,reaction,CLEAR
Three generations of my family watched that game together tonight. I'll never forget it.,reaction,CLEAR
KAT just had his best playoff game ever at the best possible moment. INCREDIBLE.,reaction,CLEAR
That shot has already been replayed 40 times on my TV and it gets better every time,reaction,CLEAR
I've never seen an entire fanbase this quiet after a home loss. It was eerie.,reaction,CLEAR
I have been waiting 27 years for this. TWENTY SEVEN YEARS.,reaction,CLEAR
Wemby just grabbed a rebound over two guys a foot taller than him. He doesn't follow physics.,reaction,CLEAR
Tyler Herro to Detroit is picking up steam — part of a 3-team deal sending Giannis to Miami per Woj,rumors_news,CLEAR
Jalen Brunson wins Finals MVP — official NBA announcement,rumors_news,EDGE_RN: celebratory result but primary content is a factual award announcement — rumors_news
"Multiple big men reportedly trying to find a way to play alongside Wemby, per @mikecwright (h/t @TheNBABase)",rumors_news,CLEAR
"Breaking: Kevin Durant has requested a trade from the Suns, per Adrian Wojnarowski",rumors_news,CLEAR
Lakers expected to pursue a max FA this summer — Kawhi and PG both on their list per Shams,rumors_news,CLEAR
OKC and Memphis discussing a deal involving Ja Morant per multiple league sources,rumors_news,CLEAR
James Harden opts out of Clippers deal and will enter free agency per ESPN,rumors_news,CLEAR
Draymond Green suspended indefinitely after game 3 incident per NBA statement,rumors_news,CLEAR
Warriors had preliminary talks with Raptors about Siakam per The Athletic,rumors_news,CLEAR
Kyrie Irving signs 3-year max extension with the Mavericks per Shams Charania,rumors_news,CLEAR
Damian Lillard tells Portland he won't sign an extension and wants a trade per Woj,rumors_news,CLEAR
Bradley Beal trade to Phoenix official — Suns send picks and TBD players per ESPN,rumors_news,CLEAR
Chris Paul to the Warriors on a 1-year deal — official team announcement,rumors_news,CLEAR
Zion Williamson expected to miss 6-8 weeks with hamstring strain per Pelicans front office,rumors_news,CLEAR
Heat actively shopping Kyle Lowry ahead of trade deadline per multiple sources,rumors_news,CLEAR
Ben Simmons will not play this season — Nets cite back injury per team statement,rumors_news,CLEAR
Carmelo Anthony officially retires — statement from his agency,rumors_news,CLEAR
"Draft combine: Scoot Henderson measured at 6'2"" with a 6'8"" wingspan",rumors_news,CLEAR
Anthony Davis agrees to 3-year $186M extension with the Lakers per Woj,rumors_news,CLEAR
Ja Morant suspended 25 games by the NBA for conduct detrimental to the league,rumors_news,CLEAR
Kawhi Leonard has informed the Clippers he wants out — meeting scheduled per The Athletic,rumors_news,CLEAR
Paul George signs 4-year max with the 76ers in free agency per Shams,rumors_news,CLEAR
Bucks fire Mike Budenholzer after first-round exit per ESPN's Adrian Wojnarowski,rumors_news,CLEAR
Lakers hire JJ Redick as head coach — official announcement from the team,rumors_news,CLEAR
Celtics sign Kristaps Porzingis to 2-year extension per team announcement,rumors_news,CLEAR
Victor Wembanyama wins Rookie of the Year in unanimous vote — official NBA statement,rumors_news,"EDGE_RN: award announcement, kept rumors_news because the content is factual league news not a fan's emotional post"
OKC Thunder acquire Dejounte Murray from Atlanta in 3-team deal per Woj,rumors_news,CLEAR
LeBron James signs 2-year extension with the Lakers to play alongside his son per ESPN,rumors_news,CLEAR
Giannis Antetokounmpo ruled out for game 5 with knee injury per Bucks medical staff,rumors_news,CLEAR
Jimmy Butler and Heat mutually agree to part ways — trade request granted per The Athletic,rumors_news,CLEAR
Suns to hire Mike Budenholzer as new head coach per Shams Charania,rumors_news,CLEAR
Nikola Jokic wins his 4th MVP award — official NBA announcement,rumors_news,EDGE_RN: factual award news; classified rumors_news over reaction because the post is reporting the fact not expressing feelings
DeMar DeRozan signs with the Bulls on a 3-year deal per multiple sources,rumors_news,CLEAR
Russell Westbrook and the Lakers reach a buyout agreement per Adrian Wojnarowski,rumors_news,CLEAR
Trae Young requests a trade from Atlanta per league sources — Knicks among interested teams,rumors_news,CLEAR
Klay Thompson signs with the Mavericks on a 4-year deal per ESPN — leaves Warriors after 13 years,rumors_news,CLEAR
Stephen Curry named head coach of Team USA for the 2028 LA Olympics per USA Basketball statement,rumors_news,CLEAR
Joel Embiid wins MVP award in unanimous vote per official NBA announcement,rumors_news,"EDGE_RN: same as Jokic case — factual news post, rumors_news"
Miami Heat reach $3B sale agreement to new ownership group per Bloomberg,rumors_news,CLEAR
Victor Wembanyama named to All-NBA first team in his rookie season per league announcement,rumors_news,CLEAR
Ja Morant cleared to return from suspension — will play Tuesday per Grizzlies official,rumors_news,CLEAR
Doc Rivers fired by the Bucks after regular season per ESPN,rumors_news,CLEAR
Donovan Mitchell extension talks with the Cavaliers have stalled per The Athletic,rumors_news,CLEAR
Golden State Warriors select Bronny James with the 55th pick in the 2024 NBA Draft,rumors_news,CLEAR
Portland Trail Blazers to receive NBA's #1 pick after lottery per official drawing,rumors_news,CLEAR
Udoka suspended an entire season for violations of team policies per Celtics official statement,rumors_news,CLEAR
Durant and Kyrie reportedly want a third star — Bucks' Giannis at top of their list per insider,rumors_news,EDGE_NH: report from source but speculative framing; kept rumors_news because attribution to credentialed insider is present
Nets owner wants to sell the team and multiple ownership groups have expressed interest per Bloomberg,rumors_news,CLEAR
Isaiah Thomas signs 10-day contract with the Lakers for a storybook comeback per team announcement,rumors_news,CLEAR
Miami Heat sign Jimmy Butler to a 4-year max extension — official team announcement,rumors_news,CLEAR
Kevin Garnett and Paul Pierce banners raised to the TD Garden rafters — official Celtics ceremony,rumors_news,EDGE_RN: ceremonial news; classified rumors_news because the post reports an event not a personal emotional experience
Woj: The Clippers are increasingly likely to blow up the roster if they lose in the first round,rumors_news,EDGE_NH: Woj speculation with editorial framing; kept rumors_news because the opinion is Woj's reported assessment not the poster's unbacked take
LeBron James announces he will not retire and will play his 22nd season per his agent,rumors_news,CLEAR
Gregg Popovich steps down as Spurs head coach — will transition to front office per team statement,rumors_news,CLEAR
NBA announces new CBA details — second apron tax creates hard cap for repeat offenders,rumors_news,CLEAR
Bronny James selected by the Lakers — father and son will play together for the first time in NBA history,rumors_news,CLEAR
